[DEBUG] 2021-03-02 21:49:16.869 [main] SimpleValueBinder - building SimpleValue for dateOfBirth
[DEBUG] 2021-03-02 21:49:16.869 [main] PropertyBinder - Building property dateOfBirth
[DEBUG] 2021-03-02 21:49:16.869 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=first_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 21:49:16.870 [main] PropertyBinder - MetadataSourceProcessor property firstName with lazy=false
[DEBUG] 2021-03-02 21:49:16.870 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [edu.matc.entity.User:firstName]
[DEBUG] 2021-03-02 21:49:16.870 [main] SimpleValueBinder - building SimpleValue for firstName
[DEBUG] 2021-03-02 21:49:16.870 [main] PropertyBinder - Building property firstName
[DEBUG] 2021-03-02 21:49:16.870 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=last_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 21:49:16.870 [main] PropertyBinder - MetadataSourceProcessor property lastName with lazy=false
[DEBUG] 2021-03-02 21:49:16.870 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [edu.matc.entity.User:lastName]
[DEBUG] 2021-03-02 21:49:16.871 [main] SimpleValueBinder - building SimpleValue for lastName
[DEBUG] 2021-03-02 21:49:16.871 [main] PropertyBinder - Building property lastName
[DEBUG] 2021-03-02 21:49:16.871 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=user_name, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 21:49:16.872 [main] PropertyBinder - MetadataSourceProcessor property userName with lazy=false
[DEBUG] 2021-03-02 21:49:16.872 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [edu.matc.entity.User:userName]
[DEBUG] 2021-03-02 21:49:16.872 [main] SimpleValueBinder - building SimpleValue for userName
[DEBUG] 2021-03-02 21:49:16.872 [main] PropertyBinder - Building property userName
